,tweet_time,tweet_language,count
443,08/21/2015,ru,4916
444,12/04/2015,ru,4906
445,11/04/2015,ru,4899
446,08/15/2016,en,4896
447,12/11/2015,ru,4895
448,10/01/2015,ru,4894
449,07/27/2014,en,4883
450,08/18/2015,ru,4880
451,12/22/2015,ru,4876
452,06/16/2014,ru,4854
453,08/19/2015,ru,4851
454,02/23/2015,ru,4845
455,01/11/2015,ru,4841
456,07/22/2014,ru,4841
457,07/28/2015,ru,4836
458,11/16/2016,en,4831
459,10/23/2015,ru,4831
460,07/30/2015,ru,4813
461,03/08/2015,ru,4813
462,10/29/2015,ru,4812
463,12/14/2015,ru,4804
464,09/07/2015,ru,4799
465,09/28/2016,en,4792
466,03/22/2016,en,4789
467,06/20/2016,en,4788
468,07/29/2015,ru,4785
469,06/15/2015,en,4779
470,04/19/2015,ru,4777
471,01/14/2017,en,4759
472,10/26/2015,ru,4758
473,04/08/2015,en,4748
474,09/14/2014,ru,4745
475,11/05/2015,ru,4743
476,06/02/2015,en,4742
477,12/25/2015,ru,4739
478,01/07/2015,en,4729
479,09/21/2015,ru,4728
480,06/18/2015,en,4727
481,07/08/2014,ru,4726
482,12/18/2015,ru,4723
483,03/09/2015,ru,4723
484,12/24/2015,ru,4717
485,11/06/2015,ru,4703
486,05/04/2015,ru,4703
487,11/02/2015,ru,4701
488,12/16/2015,ru,4659
489,10/31/2015,ru,4645
490,03/15/2017,ru,4640
491,12/22/2016,en,4628
492,08/26/2015,ru,4603
493,02/08/2015,ru,4600
494,01/19/2015,ru,4590
495,11/03/2014,ru,4587
496,07/04/2015,en,4587
497,11/27/2014,ru,4582
498,07/01/2014,ru,4581
499,09/03/2015,ru,4580
500,03/10/2015,en,4573
501,08/10/2016,en,4569
502,11/21/2014,ru,4565
503,07/25/2015,en,4559
504,07/01/2015,en,4554
505,10/09/2015,ru,4549
506,09/25/2015,ru,4541
507,03/22/2015,ru,4538
508,11/09/2014,ru,4528
509,03/24/2015,ru,4521
510,04/20/2017,en,4519
511,11/24/2016,en,4519
512,01/02/2017,en,4511
513,08/25/2015,ru,4506
514,06/18/2014,ru,4495
515,09/27/2015,ru,4493
516,05/11/2015,ru,4492
517,07/16/2015,en,4457
518,04/12/2015,ru,4449
519,12/15/2015,ru,4447
520,12/26/2014,ru,4446
521,08/29/2015,ru,4446
522,07/20/2015,ru,4445
523,12/28/2015,ru,4426
524,09/23/2015,ru,4422
525,07/25/2015,ru,4418
526,01/17/2015,ru,4416
527,08/04/2016,en,4415
528,06/01/2016,en,4410
529,07/17/2015,ru,4400
530,05/15/2015,ru,4394
531,11/09/2016,en,4384
532,05/29/2015,en,4376
533,12/27/2014,en,4373
534,11/22/2014,ru,4369
535,10/17/2015,ru,4359
536,05/25/2015,en,4350
537,08/15/2015,ru,4344
538,12/17/2014,ru,4343
539,07/12/2015,en,4338
540,10/11/2015,ru,4331
541,11/08/2014,ru,4319
542,12/04/2014,ru,4319
543,05/07/2015,en,4315
544,03/07/2017,en,4304
545,09/05/2015,ru,4304
546,09/12/2015,ru,4299
547,10/18/2015,ru,4294
548,12/03/2014,ru,4293
549,10/10/2015,ru,4289
550,01/14/2015,en,4282
551,06/21/2016,en,4281
552,11/20/2014,ru,4266
553,10/30/2015,ru,4265
554,07/29/2015,en,4264
555,11/05/2014,ru,4263
556,10/17/2016,en,4253
557,02/26/2016,en,4244
558,12/03/2016,en,4232
559,12/08/2014,ru,4228
560,12/09/2016,en,4224
561,04/22/2017,en,4214
562,12/24/2014,en,4211
563,11/01/2014,ru,4210
564,11/27/2015,en,4210
565,07/24/2015,en,4210
566,12/06/2016,en,4206
567,10/25/2015,ru,4204
568,04/05/2015,ru,4187
569,12/12/2016,en,4183
570,04/04/2015,ru,4181
571,12/05/2015,ru,4175
572,11/07/2015,ru,4163
573,12/09/2014,ru,4162
574,02/22/2017,en,4155
575,01/16/2017,en,4147
576,09/26/2015,ru,4144
577,12/04/2016,en,4144
578,03/14/2015,ru,4136
579,03/01/2017,en,4131
580,04/08/2017,en,4129
581,10/03/2015,ru,4125
582,07/29/2014,en,4118
583,06/08/2016,en,4117
584,09/04/2014,ru,4114
585,04/18/2015,ru,4112
586,10/24/2015,ru,4109
587,11/23/2014,ru,4101
588,05/10/2015,ru,4101
589,04/11/2017,en,4095
590,04/13/2017,en,4082
591,11/12/2014,ru,4063
592,06/22/2014,ru,4053
593,09/20/2015,ru,4053
594,11/01/2015,ru,4048
595,08/02/2015,ru,4046
596,12/19/2014,ru,4042
597,03/23/2017,en,4039
598,11/29/2015,ru,4028
599,10/12/2015,en,4027
600,09/15/2015,ru,4020
601,09/29/2016,en,4017
602,08/22/2015,ru,4005
603,05/16/2016,en,4005
604,07/15/2015,ru,4000
605,11/16/2014,ru,3996
606,07/19/2015,en,3985
607,07/06/2015,en,3985
608,08/03/2016,en,3976
609,03/25/2015,ru,3975
610,04/22/2015,en,3972
611,10/04/2015,ru,3955
612,11/07/2016,en,3954
613,01/24/2017,en,3952
614,10/11/2015,en,3946
615,06/10/2014,ru,3943
616,04/19/2017,en,3940
617,12/16/2015,en,3939
618,03/16/2017,ru,3931
619,07/19/2015,ru,3926
620,09/19/2015,ru,3922
621,12/12/2014,ru,3918
622,08/08/2015,ru,3915
623,03/08/2017,en,3914
624,01/19/2017,en,3909
625,09/05/2014,ru,3909
626,07/26/2015,ru,3907
627,12/18/2016,en,3905
628,09/16/2014,en,3902
629,03/31/2017,en,3902
630,08/16/2015,ru,3900
631,06/29/2015,en,3899
632,04/03/2017,en,3895
633,07/21/2015,ru,3892
634,04/14/2017,en,3892
635,02/17/2015,en,3883
636,08/23/2015,ru,3883
637,12/08/2016,en,3881
638,01/15/2015,ru,3877
639,11/02/2014,ru,3874
640,09/06/2015,ru,3873
641,12/13/2015,ru,3866
642,12/02/2016,en,3864
643,03/28/2017,en,3863
644,04/28/2017,en,3859
645,08/09/2015,ru,3859
646,04/12/2017,en,3855
647,12/14/2014,ru,3851
648,03/29/2017,en,3850
649,08/21/2015,en,3849
650,09/13/2015,ru,3849
651,03/24/2017,en,3845
652,09/08/2014,ru,3845
653,04/18/2017,en,3841
654,06/12/2015,en,3838
655,04/25/2017,en,3837
656,12/11/2014,ru,3834
657,11/26/2014,ru,3822
658,08/30/2015,ru,3818
659,11/06/2014,ru,3805
660,07/18/2015,ru,3805
661,04/24/2017,en,3803
662,07/26/2014,en,3802
663,03/22/2017,en,3790
664,12/25/2014,ru,3773
665,12/06/2015,ru,3771
666,02/29/2016,en,3767
667,11/19/2014,ru,3767
668,10/12/2016,en,3764
669,09/07/2014,ru,3761
670,08/13/2015,en,3761
671,12/19/2015,ru,3758
672,07/25/2014,en,3741
673,07/07/2014,ru,3740
674,01/13/2015,en,3739
675,11/15/2015,en,3738
